1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,18,23,,284,,2017-09-01 12:38:27 PM,40.7390169121,,-74.0026376103,,Greenwich Ave & 8 Ave,,Greenwich Ave & 8 Ave,1,In Service,False,43
,47,4,,285,,2017-09-01 12:36:36 PM,40.73454567,,-73.99074142,,Broadway & E 14 St,,Broadway & E 14 St,1,In Service,False,51
,4,15,,289,,2017-09-01 12:38:05 PM,40.6845683,,-73.95881081,,Monroe St & Classon Ave,,Monroe St & Classon Ave,1,In Service,False,19
,0,19,,291,,2017-09-01 12:38:33 PM,40.713126,,-73.984844,,Madison St & Montgomery St,,Madison St & Montgomery St,1,In Service,False,20
,37,17,,293,,2017-09-01 12:38:32 PM,40.7302066053,,-73.9910262823,,Lafayette St & E 8 St,,Lafayette St & E 8 St,1,In Service,False,55
,7,17,,295,,2017-09-01 12:35:42 PM,40.71406667,,-73.99293911,,Pike St & E Broadway,,Pike St & E Broadway,1,In Service,False,24
,34,0,,296,,2017-09-01 12:38:45 PM,40.71413089,,-73.9970468,,Division St & Bowery,,Division St & Bowery,1,In Service,False,35
,11,15,,297,,2017-09-01 12:37:56 PM,40.734232,,-73.986923,,E 15 St & 3 Ave,,E 15 St & 3 Ave,1,In Service,False,27
,1,35,,301,,2017-09-01 12:39:14 PM,40.72217444,,-73.98368779,,E 2 St & Avenue B,,E 2 St & Avenue B,1,In Service,False,37
,0,23,,302,,2017-09-01 12:37:18 PM,40.72082834,,-73.97793172,,Avenue D & E 3 St,,Avenue D & E 3 St,1,In Service,False,23
,29,1,,303,,2017-09-01 12:39:10 PM,40.72362738,,-73.99949601,,Mercer St & Spring St,,Mercer St & Spring St,1,In Service,False,31
,13,19,,304,,2017-09-01 12:36:52 PM,40.70463334,,-74.01361706,,Broadway & Battery Pl,,Broadway & Battery Pl,1,In Service,False,33
,29,4,,305,,2017-09-01 12:38:14 PM,40.76095756,,-73.96724467,,E 58 St & 3 Ave,,E 58 St & 3 Ave,1,In Service,False,33
,16,1,,306,,2017-09-01 12:37:20 PM,40.70823502,,-74.00530063,,Cliff St & Fulton St,,Cliff St & Fulton St,1,In Service,False,17
,11,17,,307,,2017-09-01 12:36:59 PM,40.71427487,,-73.98990025,,Canal St & Rutgers St,,Canal St & Rutgers St,1,In Service,False,31
,26,0,,308,,2017-09-01 12:36:22 PM,40.71307916,,-73.99851193,,St James Pl & Oliver St,,St James Pl & Oliver St,1,In Service,False,27
,38,3,,309,,2017-09-01 12:39:03 PM,40.7149787,,-74.013012,,Murray St & West St,,Murray St & West St,1,In Service,False,41
,27,9,,310,,2017-09-01 12:36:29 PM,40.68926942,,-73.98912867,,State St & Smith St,,State St & Smith St,1,In Service,False,36
,2,29,,311,,2017-09-01 12:38:07 PM,40.7172274,,-73.98802084,,Norfolk St & Broome St,,Norfolk St & Broome St,1,In Service,False,31
,1,30,,312,,2017-09-01 12:36:48 PM,40.722055,,-73.989111,,Allen St & Stanton St,,Allen St & Stanton St,1,In Service,False,31
,17,6,,313,,2017-09-01 12:36:08 PM,40.69610226,,-73.96751037,,Washington Ave & Park Ave,,Washington Ave & Park Ave,1,In Service,False,23
,20,18,,314,,2017-09-01 12:35:28 PM,40.69383,,-73.990539,,Cadman Plaza West & Montague St,,Cadman Plaza West & Montague St,1,In Service,False,39
,28,0,,315,,2017-09-01 12:38:07 PM,40.70355377,,-74.00670227,,South St & Gouverneur Ln,,South St & Gouverneur Ln,1,In Service,False,29
,0,10,,316,,2017-08-11 06:01:20 AM,40.70955958,,-74.00653609,,Fulton St & William St,,Fulton St & William St,3,Not In Service,False,27
,1,25,,317,,2017-09-01 12:39:20 PM,40.72453734,,-73.98185424,,E 6 St & Avenue B,,E 6 St & Avenue B,1,In Service,False,27
,27,5,,319,,2017-09-01 12:37:46 PM,40.711066,,-74.009447,,Fulton St & Broadway,,Fulton St & Broadway,1,In Service,False,33
,16,21,,320,,2017-09-01 12:39:18 PM,40.717571,,-74.005549,,Leonard St & Church St,,Leonard St & Church St,1,In Service,False,39
,22,5,,321,,2017-09-01 12:39:02 PM,40.69991755,,-73.98971773,,Cadman Plaza E & Red Cross Pl,,Cadman Plaza E & Red Cross Pl,1,In Service,False,27
,27,4,,322,,2017-09-01 12:39:20 PM,40.696192,,-73.991218,,Clinton St & Tillary St,,Clinton St & Tillary St,1,In Service,False,31
,28,11,,323,,2017-09-01 12:37:24 PM,40.69236178,,-73.98631746,,Lawrence St & Willoughby St,,Lawrence St & Willoughby St,1,In Service,False,39
,45,4,,324,,2017-09-01 12:36:21 PM,40.689888,,-73.981013,,DeKalb Ave & Hudson Ave,,DeKalb Ave & Hudson Ave,1,In Service,False,51
,4,28,,325,,2017-09-01 12:39:11 PM,40.73624527,,-73.98473765,,E 19 St & 3 Ave,,E 19 St & 3 Ave,1,In Service,False,35
,2,23,,326,,2017-09-01 12:37:34 PM,40.72953837,,-73.98426726,,E 11 St & 1 Ave,,E 11 St & 1 Ave,1,In Service,False,27
,22,16,,327,,2017-09-01 12:39:05 PM,40.7153379,,-74.01658354,,Vesey Pl & River Terrace,,Vesey Pl & River Terrace,1,In Service,False,39
,18,5,,328,,2017-09-01 12:39:04 PM,40.72405549,,-74.00965965,,Watts St & Greenwich St,,Watts St & Greenwich St,1,In Service,False,23
,38,1,,330,,2017-09-01 12:37:49 PM,40.71450451,,-74.00562789,,Reade St & Broadway,,Reade St & Broadway,1,In Service,False,39
,5,21,,331,,2017-09-01 12:36:27 PM,40.71173107,,-73.99193043,,Pike St & Monroe St,,Pike St & Monroe St,1,In Service,False,27
,2,21,,332,,2017-09-01 12:38:07 PM,40.71219906,,-73.97948148,,Cherry St,,Cherry St,1,In Service,False,24
,3,28,,334,,2017-09-01 12:39:19 PM,40.74238787,,-73.99726235,,W 20 St & 7 Ave,,W 20 St & 7 Ave,1,In Service,False,31
,23,4,,335,,2017-09-01 12:37:58 PM,40.72903917,,-73.99404649,,Washington Pl & Broadway,,Washington Pl & Broadway,1,In Service,False,27
,25,9,,336,,2017-09-01 12:36:45 PM,40.73047747,,-73.99906065,,Sullivan St & Washington Sq,,Sullivan St & Washington Sq,1,In Service,False,36
,31,6,,337,,2017-09-01 12:37:23 PM,40.7037992,,-74.00838676,,Old Slip & Front St,,Old Slip & Front St,1,In Service,False,37
,2,22,,339,,2017-09-01 12:39:19 PM,40.72580614,,-73.97422494,,Avenue D & E 12 St,,Avenue D & E 12 St,1,In Service,False,24
,0,27,,340,,2017-09-01 12:36:39 PM,40.71269042,,-73.98776323,,Madison St & Clinton St,,Madison St & Clinton St,1,In Service,False,27
,0,19,,341,,2017-09-01 12:38:15 PM,40.71782143,,-73.97628939,,Stanton St & Mangin St,,Stanton St & Mangin St,1,In Service,False,19
,1,28,,342,,2017-09-01 12:37:23 PM,40.71739973,,-73.98016555,,Columbia St & Rivington St,,Columbia St & Rivington St,1,In Service,False,29
,11,8,,343,,2017-09-01 12:37:43 PM,40.69794,,-73.96986848,,Clinton Ave & Flushing Ave,,Clinton Ave & Flushing Ave,1,In Service,False,23
,7,16,,344,,2017-09-01 12:37:42 PM,40.6851443,,-73.95380904,,Monroe St & Bedford Ave,,Monroe St & Bedford Ave,1,In Service,False,23
,7,27,,345,,2017-09-01 12:37:13 PM,40.73649403,,-73.99704374,,W 13 St & 6 Ave,,W 13 St & 6 Ave,1,In Service,False,35
,1,24,,346,,2017-09-01 12:36:19 PM,40.73652889,,-74.00618026,,Bank St & Hudson St,,Bank St & Hudson St,1,In Service,False,27
,31,1,,347,,2017-09-01 12:38:43 PM,40.728846,,-74.008591,,Greenwich St & W Houston St,,Greenwich St & W Houston St,1,In Service,False,35
,0,23,,349,,2017-09-01 12:35:27 PM,40.71850211,,-73.98329859,,Rivington St & Ridge St,,Rivington St & Ridge St,1,In Service,False,23
,0,28,,350,,2017-09-01 12:38:53 PM,40.71559509,,-73.9870295,,Clinton St & Grand St,,Clinton St & Grand St,1,In Service,False,28
,33,6,,351,,2017-09-01 12:38:31 PM,40.70530954,,-74.00612572,,Front St & Maiden Ln,,Front St & Maiden Ln,1,In Service,False,39
,23,4,,353,,2017-09-01 12:35:40 PM,40.68539567,,-73.97431458,,S Portland Ave & Hanson Pl,,S Portland Ave & Hanson Pl,1,In Service,False,27
,12,11,,354,,2017-09-01 12:37:38 PM,40.69363137,,-73.96223558,,Emerson Pl & Myrtle Ave,,Emerson Pl & Myrtle Ave,1,In Service,False,23
,41,0,,355,,2017-09-01 12:37:28 PM,40.71602118,,-73.99974372,,Bayard St & Baxter St,,Bayard St & Baxter St,1,In Service,False,43
,2,21,,356,,2017-09-01 12:37:48 PM,40.71622644,,-73.98261206,,Bialystoker Pl & Delancey St,,Bialystoker Pl & Delancey St,1,In Service,False,23
,15,11,,357,,2017-09-01 12:38:31 PM,40.73261787,,-73.99158043,,E 11 St & Broadway,,E 11 St & Broadway,1,In Service,False,27
,0,35,,358,,2017-09-01 12:36:30 PM,40.73291553,,-74.00711384,,Christopher St & Greenwich St,,Christopher St & Greenwich St,1,In Service,False,36
,5,48,,359,,2017-09-01 12:39:19 PM,40.75510267,,-73.97498696,,E 47 St & Park Ave,,E 47 St & Park Ave,1,In Service,False,53
,14,24,,360,,2017-09-01 12:36:57 PM,40.70717936,,-74.00887308,,William St & Pine St,,William St & Pine St,1,In Service,False,39
,10,33,,361,,2017-09-01 12:37:24 PM,40.71605866,,-73.99190759,,Allen St & Hester St,,Allen St & Hester St,1,In Service,False,43
,26,30,,362,,2017-09-01 12:36:57 PM,40.75172632,,-73.98753523,,Broadway & W 37 St,,Broadway & W 37 St,1,In Service,False,57
,22,26,,363,,2017-09-01 12:38:40 PM,40.70834698,,-74.01713445,,West Thames St,,West Thames St,1,In Service,False,49
,14,9,,364,,2017-09-01 12:35:52 PM,40.68900443,,-73.96023854,,Lafayette Ave & Classon Ave,,Lafayette Ave & Classon Ave,1,In Service,False,27
,2,29,,365,,2017-09-01 12:37:15 PM,40.68223166,,-73.9614583,,Fulton St & Grand Ave,,Fulton St & Grand Ave,1,In Service,False,31
,20,12,,366,,2017-09-01 12:35:35 PM,40.693261,,-73.968896,,Clinton Ave & Myrtle Ave,,Clinton Ave & Myrtle Ave,1,In Service,False,33
,26,13,,368,,2017-09-01 12:38:15 PM,40.73038599,,-74.00214988,,Carmine St & 6 Ave,,Carmine St & 6 Ave,1,In Service,False,39
,1,33,,369,,2017-09-01 12:37:02 PM,40.73224119,,-74.00026394,,Washington Pl & 6 Ave,,Washington Pl & 6 Ave,1,In Service,False,35
,5,22,,372,,2017-09-01 12:36:37 PM,40.6945460872,,-73.9580136538,,Franklin Ave & Myrtle Ave,,Franklin Ave & Myrtle Ave,1,In Service,False,27
,11,8,,373,,2017-09-01 12:38:16 PM,40.69331716,,-73.95381995,,Willoughby Ave & Walworth St,,Willoughby Ave & Walworth St,1,In Service,False,19
,36,6,,376,,2017-09-01 12:37:57 PM,40.70862144,,-74.00722156,,John St & William St,,John St & William St,1,In Service,False,43
,7,38,,377,,2017-09-01 12:38:32 PM,40.72243797,,-74.00566443,,6 Ave & Canal St,,6 Ave & Canal St,1,In Service,False,45
,11,31,,379,,2017-09-01 12:36:18 PM,40.749156,,-73.9916,,W 31 St & 7 Ave,,W 31 St & 7 Ave,1,In Service,False,42
,8,27,,380,,2017-09-01 12:39:17 PM,40.73401143,,-74.00293877,,W 4 St & 7 Ave S,,W 4 St & 7 Ave S,1,In Service,False,39
,32,3,,382,,2017-09-01 12:38:55 PM,40.73492695,,-73.99200509,,University Pl & E 14 St,,University Pl & E 14 St,1,In Service,False,36
,7,29,,383,,2017-09-01 12:39:02 PM,40.735238,,-74.000271,,Greenwich Ave & Charles St,,Greenwich Ave & Charles St,1,In Service,False,39
,18,12,,384,,2017-09-01 12:37:43 PM,40.683048,,-73.964915,,Fulton St & Washington Ave,,Fulton St & Washington Ave,1,In Service,False,31
,6,22,,385,,2017-09-01 12:37:39 PM,40.75797322,,-73.96603308,,E 55 St & 2 Ave,,E 55 St & 2 Ave,1,In Service,False,29
,38,4,,386,,2017-09-01 12:37:47 PM,40.71494807,,-74.00234482,,Centre St & Worth St,,Centre St & Worth St,1,In Service,False,43
,28,8,,387,,2017-09-01 12:39:18 PM,40.71273266,,-74.0046073,,Centre St & Chambers St,,Centre St & Chambers St,1,In Service,False,39
,30,5,,388,,2017-09-01 12:35:38 PM,40.749717753,,-74.002950346,,W 26 St & 10 Ave,,W 26 St & 10 Ave,1,In Service,False,35
,20,6,,389,,2017-09-01 12:38:55 PM,40.71044554,,-73.96525063,,Broadway & Berry St,,Broadway & Berry St,1,In Service,False,27
